molecule_A2B,2_1_3
├─ divan_training         16.92 ms      │ 17.12 ms      │ 17.03 ms      │ 17.02 ms      │ 100     │ 100
╰─ divan_training_verify  17.01 ms      │ 17.18 ms      │ 17.08 ms      │ 17.08 ms      │ 100     │ 100

molecule_A3BC,3_1_1_3
├─ add                    0.387 ns      │ 0.397 ns      │ 0.388 ns      │ 0.39 ns       │ 100     │ 409600
├─ divan_inference        835.8 µs      │ 975.2 µs      │ 907.3 µs      │ 904.8 µs      │ 100     │ 100
├─ divan_training         1.455 ms      │ 1.593 ms      │ 1.465 ms      │ 1.466 ms      │ 100     │ 100
╰─ divan_training_verify  1.46 ms       │ 1.467 ms      │ 1.463 ms      │ 1.463 ms      │ 100     │ 100

molecule_A3BC,3_1_1_4
├─ add                    0.776 ns      │ 0.787 ns      │ 0.777 ns      │ 0.777 ns      │ 100     │ 204800
├─ divan_inference        2.225 ms      │ 2.319 ms      │ 2.228 ms      │ 2.23 ms       │ 100     │ 100
├─ divan_training         5.347 ms      │ 5.37 ms       │ 5.351 ms      │ 5.351 ms      │ 100     │ 100
╰─ divan_training_verify  5.337 ms      │ 5.353 ms      │ 5.339 ms      │ 5.34 ms       │ 100     │ 100

molecule_A3BC,3_1_1_5
├─ add                    0.743 ns      │ 0.757 ns      │ 0.749 ns      │ 0.75 ns       │ 100     │ 409600
├─ divan_inference        6.073 ms      │ 6.121 ms      │ 6.074 ms      │ 6.075 ms      │ 100     │ 100
├─ divan_training         13.89 ms      │ 14.75 ms      │ 14.06 ms      │ 14.11 ms      │ 100     │ 100
╰─ divan_training_verify  13.95 ms      │ 15.27 ms      │ 14.07 ms      │ 14.11 ms      │ 100     │ 100

molecule_A3BC,3_1_1_6
├─ add                    0.776 ns      │ 0.798 ns      │ 0.777 ns      │ 0.779 ns      │ 100     │ 204800
├─ divan_inference        17.74 ms      │ 17.89 ms      │ 17.75 ms      │ 17.75 ms      │ 100     │ 100
├─ divan_training         43.5 ms       │ 47.7 ms       │ 45.27 ms      │ 45.42 ms      │ 100     │ 100
╰─ divan_training_verify  43.18 ms      │ 46.75 ms      │ 44.59 ms      │ 44.83 ms      │ 100     │ 100

molecule_A3BC,3_1_1_7
├─ add                    0.386 ns      │ 0.394 ns      │ 0.39 ns       │ 0.389 ns      │ 100     │ 409600
├─ divan_inference        42.89 ms      │ 43.07 ms      │ 42.9 ms       │ 42.91 ms      │ 100     │ 100
├─ divan_training         93.83 ms      │ 99.29 ms      │ 97.29 ms      │ 97.01 ms      │ 100     │ 100
╰─ divan_training_verify  93.43 ms      │ 98.92 ms      │ 97.13 ms      │ 96.98 ms      │ 100     │ 100

molecule_A3BC,3_1_1_8
├─ add                    0.631 ns      │ 0.645 ns      │ 0.631 ns      │ 0.634 ns      │ 100     │ 204800
├─ divan_inference        87.97 ms      │ 88.12 ms      │ 87.99 ms      │ 87.99 ms      │ 100     │ 100
├─ divan_training         227.4 ms      │ 228.4 ms      │ 227.9 ms      │ 227.9 ms      │ 100     │ 100
╰─ divan_training_verify  227.1 ms      │ 227.9 ms      │ 227.5 ms      │ 227.5 ms      │ 100     │ 100

molecule_A4,4_3
├─ add                    0.777 ns      │ 0.79 ns       │ 0.779 ns      │ 0.781 ns      │ 100     │ 204800
├─ divan_inference        462.1 µs      │ 494.6 µs      │ 463.4 µs      │ 464.5 µs      │ 100     │ 100
├─ divan_training         549.6 µs      │ 559.9 µs      │ 551.3 µs      │ 551.3 µs      │ 100     │ 100
╰─ divan_training_verify  544.8 µs      │ 553 µs        │ 546.5 µs      │ 546.5 µs      │ 100     │ 100

molecule_A4,4_4
├─ add                    0.391 ns      │ 0.404 ns      │ 0.393 ns      │ 0.393 ns      │ 100     │ 204800
├─ divan_inference        552.8 µs      │ 592.5 µs      │ 555.3 µs      │ 555.5 µs      │ 100     │ 100
├─ divan_training         827.2 µs      │ 950.8 µs      │ 829.8 µs      │ 832.4 µs      │ 100     │ 100
╰─ divan_training_verify  826.5 µs      │ 941.2 µs      │ 829.7 µs      │ 830.8 µs      │ 100     │ 100

molecule_A4,4_5
├─ add                    0.723 ns      │ 0.735 ns      │ 0.724 ns      │ 0.725 ns      │ 100     │ 204800
├─ divan_inference        760.2 µs      │ 782.9 µs      │ 762.3 µs      │ 762.5 µs      │ 100     │ 100
├─ divan_training         984.8 µs      │ 1.114 ms      │ 996.3 µs      │ 1.001 ms      │ 100     │ 100
╰─ divan_training_verify  1.019 ms      │ 1.147 ms      │ 1.032 ms      │ 1.034 ms      │ 100     │ 100

molecule_A4,4_6
├─ add                    0.779 ns      │ 0.803 ns      │ 0.781 ns      │ 0.782 ns      │ 100     │ 204800
├─ divan_inference        1.134 ms      │ 1.194 ms      │ 1.137 ms      │ 1.138 ms      │ 100     │ 100
├─ divan_training         2.338 ms      │ 2.628 ms      │ 2.347 ms      │ 2.352 ms      │ 100     │ 100
╰─ divan_training_verify  2.355 ms      │ 2.366 ms      │ 2.359 ms      │ 2.359 ms      │ 100     │ 100

molecule_A4,4_7
├─ add                    0.351 ns      │ 5.521 ns      │ 0.395 ns      │ 0.457 ns      │ 100     │ 204800
├─ divan_inference        1.807 ms      │ 1.888 ms      │ 1.81 ms       │ 1.812 ms      │ 100     │ 100
├─ divan_training         4.256 ms      │ 4.279 ms      │ 4.26 ms       │ 4.261 ms      │ 100     │ 100
╰─ divan_training_verify  4.266 ms      │ 4.291 ms      │ 4.272 ms      │ 4.272 ms      │ 100     │ 100

molecule_A4,4_8
├─ add                    0.776 ns      │ 0.794 ns      │ 0.779 ns      │ 0.782 ns      │ 100     │ 204800
├─ divan_inference        2.693 ms      │ 2.725 ms      │ 2.697 ms      │ 2.697 ms      │ 100     │ 100
├─ divan_training         6.8 ms        │ 6.831 ms      │ 6.804 ms      │ 6.804 ms      │ 100     │ 100
╰─ divan_training_verify  6.834 ms      │ 6.857 ms      │ 6.837 ms      │ 6.838 ms      │ 100     │ 100

molecule_A4B,4_1_3
├─ add                    0.747 ns      │ 0.759 ns      │ 0.748 ns      │ 0.748 ns      │ 100     │ 204800
├─ divan_inference        736.6 µs      │ 761.2 µs      │ 738.9 µs      │ 739.3 µs      │ 100     │ 100
├─ divan_training         1.567 ms      │ 1.581 ms      │ 1.572 ms      │ 1.572 ms      │ 100     │ 100
╰─ divan_training_verify  1.574 ms      │ 1.594 ms      │ 1.58 ms       │ 1.58 ms       │ 100     │ 100

molecule_A4B,4_1_4
├─ add                    0.319 ns      │ 0.326 ns      │ 0.319 ns      │ 0.319 ns      │ 100     │ 204800
├─ divan_inference        1.394 ms      │ 1.431 ms      │ 1.403 ms      │ 1.404 ms      │ 100     │ 100
├─ divan_training         3.34 ms       │ 3.364 ms      │ 3.348 ms      │ 3.347 ms      │ 100     │ 100
╰─ divan_training_verify  3.363 ms      │ 3.387 ms      │ 3.381 ms      │ 3.377 ms      │ 100     │ 100

molecule_A4B,4_1_5
├─ add                    0.395 ns      │ 1.62 ns       │ 0.396 ns      │ 0.409 ns      │ 100     │ 204800
├─ divan_inference        3.033 ms      │ 3.14 ms       │ 3.037 ms      │ 3.038 ms      │ 100     │ 100
├─ divan_training         8.545 ms      │ 10.14 ms      │ 9.894 ms      │ 9.756 ms      │ 100     │ 100
╰─ divan_training_verify  9.305 ms      │ 10.16 ms      │ 9.899 ms      │ 9.873 ms      │ 100     │ 100

molecule_A4B,4_1_6
├─ add                    0.379 ns      │ 1.942 ns      │ 0.38 ns       │ 0.397 ns      │ 100     │ 204800
├─ divan_inference        6.804 ms      │ 6.924 ms      │ 6.806 ms      │ 6.808 ms      │ 100     │ 100
├─ divan_training         27.95 ms      │ 28.35 ms      │ 28.04 ms      │ 28.11 ms      │ 100     │ 100
╰─ divan_training_verify  27.63 ms      │ 27.78 ms      │ 27.66 ms      │ 27.66 ms      │ 100     │ 100

molecule_A4B,4_1_7
